Degraded,MOS_P563
AlexanderHenningDrachmann-20140108-klh_a0406_plr3_evs.wav, 1.214680
AlexanderHenningDrachmann-20140108-klh_a0407_plr5_opus.wav, 1.000000
AlexanderHenningDrachmann-20140108-koe_b0457_plr1_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-koe_b0458_plr3_opus.wav, 1.269243
AlexanderHenningDrachmann-20140108-koe_b0459_plr5_evs.wav, 1.382562
AlexanderHenningDrachmann-20140108-koe_b0460_plr1_opus.wav, 1.200200
AlexanderHenningDrachmann-20140108-koe_b0461_plr3_evs.wav, 1.255807
AlexanderHenningDrachmann-20140108-koe_b0462_plr5_opus.wav, 1.000000
AlexanderHenningDrachmann-20140108-koe_b0463_plr1_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-koe_b0464_plr3_opus.wav, 1.156772
AlexanderHenningDrachmann-20140108-koe_b0465_plr5_evs.wav, 1.229420
AlexanderHenningDrachmann-20140108-koe_b0466_plr1_opus.wav, 1.312640
AlexanderHenningDrachmann-20140108-mme_a0228_plr3_evs.wav, 1.533506
AlexanderHenningDrachmann-20140108-mme_a0229_plr5_opus.wav, 1.070139
AlexanderHenningDrachmann-20140108-mme_a0230_plr1_evs.wav, 1.684261
AlexanderHenningDrachmann-20140108-mme_a0231_plr3_opus.wav, 1.501724
AlexanderHenningDrachmann-20140108-mme_a0232_plr5_evs.wav, 1.052949
AlexanderHenningDrachmann-20140108-mme_a0233_plr1_opus.wav, 1.581055
AlexanderHenningDrachmann-20140108-mme_a0234_plr3_evs.wav, 1.327423
AlexanderHenningDrachmann-20140108-mme_a0235_plr5_opus.wav, 1.000000
AlexanderHenningDrachmann-20140108-mme_a0236_plr1_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-mme_a0237_plr3_opus.wav, 1.306197
AlexanderHenningDrachmann-20140108-sju_a0470_plr5_evs.wav, 1.084458
AlexanderHenningDrachmann-20140108-sju_a0471_plr1_opus.wav, 1.000000
AlexanderHenningDrachmann-20140108-sju_a0472_plr3_evs.wav, 1.491923
AlexanderHenningDrachmann-20140108-sju_a0473_plr5_opus.wav, 1.000000
AlexanderHenningDrachmann-20140108-sju_a0474_plr1_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-sju_a0475_plr3_opus.wav, 1.000000
AlexanderHenningDrachmann-20140108-sju_a0476_plr5_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-sju_a0477_plr1_opus.wav, 1.350908
AlexanderHenningDrachmann-20140108-sju_a0478_plr3_evs.wav, 1.433828
AlexanderHenningDrachmann-20140108-sju_a0479_plr5_opus.wav, 1.000000
AlexanderHenningDrachmann-20140108-vgf_rp-15_plr1_evs.wav, 1.759606
AlexanderHenningDrachmann-20140108-vgf_rp-16_plr3_opus.wav, 1.207427
AlexanderHenningDrachmann-20140108-vgf_rp-17_plr5_evs.wav, 1.060034
AlexanderHenningDrachmann-20140108-vgf_rp-18_plr1_opus.wav, 1.105646
AlexanderHenningDrachmann-20140108-vgf_rp-19_plr3_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-vgf_rp-20_plr5_opus.wav, 1.442027
AlexanderHenningDrachmann-20140108-vgf_rp-21_plr1_evs.wav, 1.464420
AlexanderHenningDrachmann-20140108-vgf_rp-22_plr3_opus.wav, 1.319756
AlexanderHenningDrachmann-20140108-vgf_rp-23_plr5_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-vgf_rp-24_plr1_opus.wav, 1.384724
AlexanderHenningDrachmann-20140108-vul_a0592_plr3_evs.wav, 1.205645
AlexanderHenningDrachmann-20140108-vul_a0593_plr5_opus.wav, 1.575656
AlexanderHenningDrachmann-20140108-vul_b0001_plr1_evs.wav, 1.824731
AlexanderHenningDrachmann-20140108-vul_b0002_plr3_opus.wav, 1.694756
AlexanderHenningDrachmann-20140108-vul_b0003_plr5_evs.wav, 1.056561
AlexanderHenningDrachmann-20140108-vul_b0004_plr1_opus.wav, 1.000000
AlexanderHenningDrachmann-20140108-vul_b0005_plr3_evs.wav, 1.000000
AlexanderHenningDrachmann-20140108-vul_b0006_plr5_opus.wav, 1.000000
AlexanderHenningDrachmann-20140108-vul_b0007_plr1_evs.wav, 1.204505
AlexanderHenningDrachmann-20140108-vul_b0008_plr3_opus.wav, 1.092073
AlfredStrauss-20110812-eza_a0152_plr3_evs.wav, 1.000000
AlfredStrauss-20110812-eza_a0153_plr5_opus.wav, 1.266531
AlfredStrauss-20110812-eza_a0154_plr1_evs.wav, 1.345320
AlfredStrauss-20110812-eza_a0155_plr3_opus.wav, 1.065936
AlfredStrauss-20110812-eza_a0156_plr5_evs.wav, 1.000000
AlfredStrauss-20110812-eza_a0157_plr1_opus.wav, 1.028038
AlfredStrauss-20110812-eza_a0158_plr3_evs.wav, 2.830341
AlfredStrauss-20110812-eza_a0159_plr5_opus.wav, 1.000000
AlfredStrauss-20110812-eza_a0160_plr1_evs.wav, 1.914817
AlfredStrauss-20110812-eza_a0161_plr3_opus.wav, 1.451212
Alpsa-20100604-mzc_ar-10_plr1_evs.wav, 1.000000
Alpsa-20100604-mzc_ar-11_plr3_opus.wav, 1.000000
Alpsa-20100604-mzc_ar-12_plr5_evs.wav, 1.000000
Alpsa-20100604-mzc_ar-13_plr1_opus.wav, 1.000000
Alpsa-20100604-mzc_ar-14_plr3_evs.wav, 1.000000
Alpsa-20100604-mzc_ar-15_plr5_opus.wav, 1.000000
Alpsa-20100604-mzc_ar-16_plr1_evs.wav, 1.000000
